#    L    TT             EE             TE          
   183    0.51782E+04    0.75671E+00   -0.32039E+02
   184    0.51998E+04    0.74722E+00   -0.31216E+02
   185    0.52210E+04    0.73809E+00   -0.30367E+02
   186    0.52413E+04    0.72920E+00   -0.29491E+02
   187    0.52615E+04    0.72067E+00   -0.28589E+02
   188    0.52811E+04    0.71250E+00   -0.27662E+02
   189    0.53002E+04    0.70473E+00   -0.26709E+02
   190    0.53191E+04    0.69740E+00   -0.25733E+02
   191    0.53371E+04    0.69053E+00   -0.24729E+02
   192    0.53548E+04    0.68415E+00   -0.23700E+02
   193    0.53718E+04    0.67831E+00   -0.22649E+02
   194    0.53885E+04    0.67302E+00   -0.21572E+02
   195    0.54046E+04    0.66833E+00   -0.20472E+02
   196    0.54201E+04    0.66428E+00   -0.19347E+02
   197    0.54351E+04    0.66091E+00   -0.18201E+02
   198    0.54496E+04    0.65823E+00   -0.17031E+02
   199    0.54636E+04    0.65630E+00   -0.15838E+02
   200    0.54771E+04    0.65513E+00   -0.14624E+02
   201    0.54900E+04    0.65479E+00   -0.13387E+02
   202    0.55024E+04    0.65528E+00   -0.12129E+02
   203    0.55142E+04    0.65666E+00   -0.10850E+02
   204    0.55253E+04    0.65896E+00   -0.95513E+01
   205    0.55359E+04    0.66222E+00   -0.82318E+01
   206    0.55459E+04    0.66648E+00   -0.68926E+01
   207    0.55553E+04    0.67176E+00   -0.55339E+01
   208    0.55640E+04    0.67812E+00   -0.41565E+01
   209    0.55721E+04    0.68557E+00   -0.27605E+01
   210    0.55796E+04    0.69418E+00   -0.13470E+01
   211    0.55865E+04    0.70396E+00    0.83980E-01
   212    0.55926E+04    0.71495E+00    0.15316E+01
   213    0.55983E+04    0.72720E+00    0.29958E+01
   214    0.56032E+04    0.74069E+00    0.44755E+01
   215    0.56076E+04    0.75563E+00    0.59698E+01
   216    0.56113E+04    0.77182E+00    0.74793E+01
   217    0.56145E+04    0.78943E+00    0.90021E+01
   218    0.56170E+04    0.80845E+00    0.10538E+02
   219    0.56190E+04    0.82888E+00    0.12089E+02
   220    0.56203E+04    0.85088E+00    0.13649E+02
   221    0.56210E+04    0.87436E+00    0.15222E+02
   222    0.56212E+04    0.89949E+00    0.16805E+02
   223    0.56206E+04    0.92617E+00    0.18400E+02
   224    0.56195E+04    0.95443E+00    0.20003E+02
   225    0.56178E+04    0.98439E+00    0.21616E+02
   226    0.56155E+04    0.10161E+01    0.23236E+02
   227    0.56125E+04    0.10495E+01    0.24865E+02
   228    0.56089E+04    0.10846E+01    0.26501E+02
   229    0.56048E+04    0.11215E+01    0.28142E+02
   230    0.56000E+04    0.11602E+01    0.29789E+02
   231    0.55946E+04    0.12007E+01    0.31442E+02
   232    0.55886E+04    0.12431E+01    0.33099E+02
   233    0.55820E+04    0.12874E+01    0.34759E+02
   234    0.55747E+04    0.13337E+01    0.36421E+02
   235    0.55668E+04    0.13819E+01    0.38086E+02
   236    0.55583E+04    0.14320E+01    0.39752E+02
   237    0.55492E+04    0.14841E+01    0.41419E+02
   238    0.55394E+04    0.15383E+01    0.43086E+02
   239    0.55292E+04    0.15945E+01    0.44753E+02
   240    0.55182E+04    0.16527E+01    0.46417E+02
   241    0.55067E+04    0.17130E+01    0.48079E+02
   242    0.54947E+04    0.17754E+01    0.49738E+02
   243    0.54820E+04    0.18399E+01    0.51394E+02
   244    0.54687E+04    0.19066E+01    0.53045E+02
   245    0.54549E+04    0.19754E+01    0.54691E+02
   246    0.54405E+04    0.20464E+01    0.56332E+02
   247    0.54256E+04    0.21194E+01    0.57965E+02
   248    0.54101E+04    0.21950E+01    0.59592E+02
   249    0.53941E+04    0.22725E+01    0.61211E+02
   250    0.53775E+04    0.23523E+01    0.62820E+02
   251    0.53605E+04    0.24343E+01    0.64421E+02
   252    0.53428E+04    0.25186E+01    0.66012E+02
   253    0.53247E+04    0.26050E+01    0.67591E+02
   254    0.53061E+04    0.26938E+01    0.69159E+02
   255    0.52870E+04    0.27847E+01    0.70715E+02
   256    0.52674E+04    0.28781E+01    0.72259E+02
   257    0.52473E+04    0.29735E+01    0.73784E+02
   258    0.52267E+04    0.30713E+01    0.75301E+02
   259    0.52057E+04    0.31713E+01    0.76797E+02
   260    0.51843E+04    0.32736E+01    0.78285E+02
   261    0.51623E+04    0.33781E+01    0.79744E+02
   262    0.51398E+04    0.34850E+01    0.81195E+02
   263    0.51172E+04    0.35940E+01    0.82632E+02
   264    0.50940E+04    0.37053E+01    0.84047E+02
   265    0.50702E+04    0.38188E+01    0.85433E+02
   266    0.50461E+04    0.39347E+01    0.86811E+02
   267    0.50215E+04    0.40526E+01    0.88159E+02
   268    0.49965E+04    0.41730E+01    0.89493E+02
   269    0.49710E+04    0.42954E+01    0.90805E+02
   270    0.49452E+04    0.44200E+01    0.92094E+02
   271    0.49190E+04    0.45467E+01    0.93362E+02
   272    0.48926E+04    0.46758E+01    0.94600E+02
   273    0.48657E+04    0.48068E+01    0.95823E+02
   274    0.48385E+04    0.49401E+01    0.97009E+02
   275    0.48109E+04    0.50753E+01    0.98180E+02
   276    0.47831E+04    0.52127E+01    0.99314E+02
   277    0.47549E+04    0.53521E+01    0.10043E+03
   278    0.47264E+04    0.54936E+01    0.10152E+03
   279    0.46976E+04    0.56371E+01    0.10257E+03
   280    0.46684E+04    0.57825E+01    0.10361E+03
   281    0.46392E+04    0.59299E+01    0.10461E+03
   282    0.46094E+04    0.60791E+01    0.10558E+03
   283    0.45796E+04    0.62303E+01    0.10652E+03
   284    0.45494E+04    0.63833E+01    0.10743E+03
   285    0.45191E+04    0.65383E+01    0.10831E+03
   286    0.44884E+04    0.66949E+01    0.10915E+03
   287    0.44576E+04    0.68534E+01    0.10998E+03
   288    0.44265E+04    0.70135E+01    0.11076E+03
   289    0.43952E+04    0.71754E+01    0.11152E+03
   290    0.43638E+04    0.73387E+01    0.11224E+03
   291    0.43322E+04    0.75044E+01    0.11292E+03
   292    0.43001E+04    0.76712E+01    0.11358E+03
   293    0.42682E+04    0.78387E+01    0.11419E+03
   294    0.42360E+04    0.80086E+01    0.11478E+03
   295    0.42039E+04    0.81792E+01    0.11533E+03
   296    0.41714E+04    0.83521E+01    0.11585E+03
   297    0.41388E+04    0.85250E+01    0.11633E+03
   298    0.41061E+04    0.87002E+01    0.11677E+03
   299    0.40733E+04    0.88769E+01    0.11718E+03
   300    0.40403E+04    0.90536E+01    0.11754E+03
   301    0.40073E+04    0.92319E+01    0.11788E+03
   302    0.39742E+04    0.94110E+01    0.11819E+03
   303    0.39411E+04    0.95916E+01    0.11845E+03
   304    0.39079E+04    0.97737E+01    0.11867E+03
   305    0.38747E+04    0.99559E+01    0.11886E+03
   306    0.38414E+04    0.10139E+02    0.11901E+03
   307    0.38081E+04    0.10323E+02    0.11911E+03
   308    0.37748E+04    0.10509E+02    0.11919E+03
   309    0.37415E+04    0.10694E+02    0.11922E+03
   310    0.37082E+04    0.10879E+02    0.11922E+03
   311    0.36749E+04    0.11067E+02    0.11918E+03
   312    0.36417E+04    0.11253E+02    0.11910E+03
   313    0.36085E+04    0.11441E+02    0.11898E+03
   314    0.35753E+04    0.11629E+02    0.11883E+03
   315    0.35423E+04    0.11817E+02    0.11864E+03
   316    0.35093E+04    0.12006E+02    0.11841E+03
   317    0.34763E+04    0.12193E+02    0.11814E+03
   318    0.34434E+04    0.12383E+02    0.11783E+03
   319    0.34107E+04    0.12571E+02    0.11748E+03
   320    0.33781E+04    0.12760E+02    0.11711E+03
   321    0.33456E+04    0.12949E+02    0.11669E+03
   322    0.33132E+04    0.13137E+02    0.11623E+03
   323    0.32810E+04    0.13324E+02    0.11574E+03
   324    0.32489E+04    0.13513E+02    0.11520E+03
   325    0.32170E+04    0.13699E+02    0.11463E+03
   326    0.31852E+04    0.13886E+02    0.11402E+03
   327    0.31536E+04    0.14072E+02    0.11337E+03
   328    0.31223E+04    0.14257E+02    0.11269E+03
   329    0.30911E+04    0.14442E+02    0.11197E+03
   330    0.30600E+04    0.14626E+02    0.11122E+03
   331    0.30293E+04    0.14808E+02    0.11043E+03
   332    0.29988E+04    0.14991E+02    0.10961E+03
   333    0.29684E+04    0.15172E+02    0.10875E+03
   334    0.29384E+04    0.15353E+02    0.10786E+03
   335    0.29085E+04    0.15531E+02    0.10692E+03
   336    0.28789E+04    0.15709E+02    0.10596E+03
   337    0.28496E+04    0.15885E+02    0.10495E+03
   338    0.28205E+04    0.16060E+02    0.10392E+03
   339    0.27917E+04    0.16234E+02    0.10285E+03
   340    0.27632E+04    0.16407E+02    0.10176E+03
   341    0.27350E+04    0.16577E+02    0.10062E+03
   342    0.27070E+04    0.16747E+02    0.99458E+02
   343    0.26794E+04    0.16914E+02    0.98260E+02
   344    0.26522E+04    0.17080E+02    0.97033E+02
