#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.214333E-01   0.111652E+08   0.111304E+08  -0.102020E+03  -0.637419E+03   0.000000E+00   0.111597E+08   0.111597E+08   0.111597E+08  -0.262715E+00   0.579846E+07   0.579777E+07   0.108036E+02
   0.257200E-01   0.982289E+07   0.978150E+07  -0.270151E+02  -0.389378E+03   0.000000E+00   0.981638E+07   0.981638E+07   0.981638E+07  -0.231092E+00   0.510050E+07   0.509981E+07   0.898199E+01
   0.300067E-01   0.865423E+07   0.860850E+07  -0.108679E+03  -0.252001E+03   0.000000E+00   0.864705E+07   0.864705E+07   0.864705E+07  -0.203564E+00   0.449294E+07   0.449226E+07   0.751872E+01
   0.342933E-01   0.766115E+07   0.761381E+07  -0.215624E+02  -0.170777E+03   0.000000E+00   0.765371E+07   0.765371E+07   0.765371E+07  -0.180179E+00   0.397681E+07   0.397617E+07   0.625486E+01
   0.385800E-01   0.683869E+07   0.679249E+07  -0.197323E+02  -0.120439E+03   0.000000E+00   0.683143E+07   0.683143E+07   0.683143E+07  -0.160822E+00   0.354957E+07   0.354897E+07   0.512983E+01
   0.428666E-01   0.617332E+07   0.613058E+07  -0.240600E+02  -0.880613E+02   0.000000E+00   0.616660E+07   0.616660E+07   0.616660E+07  -0.145171E+00   0.320412E+07   0.320359E+07   0.413257E+01
   0.471533E-01   0.564190E+07   0.560428E+07   0.914410E+02  -0.665149E+02   0.000000E+00   0.563599E+07   0.563599E+07   0.563599E+07  -0.132679E+00   0.292842E+07   0.292796E+07   0.326970E+01
   0.514400E-01   0.522399E+07   0.519228E+07   0.711533E+02  -0.517550E+02   0.000000E+00   0.521901E+07   0.521901E+07   0.521901E+07  -0.122863E+00   0.271175E+07   0.271136E+07   0.255140E+01
   0.557266E-01   0.488411E+07   0.485828E+07   0.566922E+02  -0.412340E+02   0.000000E+00   0.488005E+07   0.488005E+07   0.488005E+07  -0.114883E+00   0.253563E+07   0.253530E+07   0.198032E+01
   0.600133E-01   0.459781E+07   0.457711E+07   0.460244E+02  -0.334732E+02   0.000000E+00   0.459456E+07   0.459456E+07   0.459456E+07  -0.108163E+00   0.238728E+07   0.238701E+07   0.155212E+01
   0.643000E-01   0.434129E+07   0.432448E+07   0.378602E+02  -0.275344E+02   0.000000E+00   0.433865E+07   0.433865E+07   0.433865E+07  -0.102138E+00   0.225431E+07   0.225407E+07   0.125217E+01
   0.685866E-01   0.409834E+07   0.408398E+07   0.314155E+02  -0.228470E+02   0.000000E+00   0.409608E+07   0.409608E+07   0.409608E+07  -0.964276E-01   0.212828E+07   0.212806E+07   0.105890E+01
   0.728733E-01   0.385921E+07   0.384590E+07   0.262048E+02  -0.190575E+02   0.000000E+00   0.385712E+07   0.385712E+07   0.385712E+07  -0.908022E-01   0.200412E+07   0.200391E+07   0.946454E+00
   0.771600E-01   0.362126E+07   0.360784E+07   0.219316E+02  -0.159502E+02   0.000000E+00   0.361915E+07   0.361915E+07   0.361915E+07  -0.851999E-01   0.188047E+07   0.188026E+07   0.888048E+00
   0.814466E-01   0.338657E+07   0.337231E+07   0.184062E+02  -0.133868E+02   0.000000E+00   0.338433E+07   0.338433E+07   0.338433E+07  -0.796720E-01   0.175846E+07   0.175825E+07   0.858939E+00
   0.857333E-01   0.316082E+07   0.314541E+07   0.155021E+02  -0.112752E+02   0.000000E+00   0.315840E+07   0.315840E+07   0.315840E+07  -0.743533E-01   0.164107E+07   0.164086E+07   0.838902E+00
   0.900200E-01   0.295005E+07   0.293361E+07   0.131215E+02  -0.954412E+01   0.000000E+00   0.294747E+07   0.294747E+07   0.294747E+07  -0.693877E-01   0.153148E+07   0.153126E+07   0.813577E+00
   0.953844E-01   0.271564E+07   0.269854E+07   0.107569E+02  -0.782454E+01   0.000000E+00   0.271295E+07   0.271295E+07   0.271295E+07  -0.638667E-01   0.140963E+07   0.140941E+07   0.762789E+00
   0.100749E+00   0.252070E+07   0.250396E+07   0.894918E+01  -0.650973E+01   0.000000E+00   0.251807E+07   0.251807E+07   0.251807E+07  -0.592790E-01   0.130837E+07   0.130816E+07   0.688471E+00
   0.106113E+00   0.236637E+07   0.235095E+07   0.757352E+01  -0.550897E+01   0.000000E+00   0.236395E+07   0.236395E+07   0.236395E+07  -0.556507E-01   0.122829E+07   0.122810E+07   0.597591E+00
   0.111478E+00   0.224592E+07   0.223249E+07   0.651361E+01  -0.473779E+01   0.000000E+00   0.224381E+07   0.224381E+07   0.224381E+07  -0.528225E-01   0.116586E+07   0.116570E+07   0.502125E+00
   0.116842E+00   0.214791E+07   0.213668E+07   0.567134E+01  -0.412494E+01   0.000000E+00   0.214614E+07   0.214614E+07   0.214614E+07  -0.505232E-01   0.111511E+07   0.111497E+07   0.414410E+00
