#    L    TT             EE             TE          
   381    0.19233E+04    0.21473E+02    0.40171E+02
   382    0.19099E+04    0.21526E+02    0.38180E+02
   383    0.18969E+04    0.21576E+02    0.36182E+02
   384    0.18845E+04    0.21620E+02    0.34181E+02
   385    0.18725E+04    0.21663E+02    0.32176E+02
   386    0.18610E+04    0.21701E+02    0.30168E+02
   387    0.18498E+04    0.21734E+02    0.28158E+02
   388    0.18392E+04    0.21764E+02    0.26148E+02
   389    0.18290E+04    0.21787E+02    0.24137E+02
   390    0.18193E+04    0.21810E+02    0.22127E+02
   391    0.18100E+04    0.21828E+02    0.20118E+02
   392    0.18012E+04    0.21843E+02    0.18112E+02
   393    0.17929E+04    0.21853E+02    0.16108E+02
   394    0.17850E+04    0.21859E+02    0.14109E+02
   395    0.17775E+04    0.21861E+02    0.12113E+02
   396    0.17705E+04    0.21858E+02    0.10124E+02
   397    0.17639E+04    0.21853E+02    0.81401E+01
   398    0.17578E+04    0.21842E+02    0.61635E+01
   399    0.17521E+04    0.21828E+02    0.41946E+01
   400    0.17469E+04    0.21810E+02    0.22344E+01
   401    0.17420E+04    0.21787E+02    0.28352E+00
   402    0.17377E+04    0.21760E+02   -0.16571E+01
   403    0.17338E+04    0.21730E+02   -0.35868E+01
   404    0.17302E+04    0.21695E+02   -0.55040E+01
   405    0.17272E+04    0.21656E+02   -0.74095E+01
   406    0.17244E+04    0.21614E+02   -0.93011E+01
   407    0.17222E+04    0.21567E+02   -0.11180E+02
   408    0.17203E+04    0.21516E+02   -0.13042E+02
   409    0.17189E+04    0.21462E+02   -0.14889E+02
   410    0.17178E+04    0.21404E+02   -0.16721E+02
   411    0.17172E+04    0.21342E+02   -0.18535E+02
   412    0.17169E+04    0.21276E+02   -0.20332E+02
   413    0.17171E+04    0.21206E+02   -0.22110E+02
   414    0.17175E+04    0.21133E+02   -0.23869E+02
   415    0.17184E+04    0.21056E+02   -0.25608E+02
   416    0.17197E+04    0.20976E+02   -0.27327E+02
   417    0.17212E+04    0.20892E+02   -0.29026E+02
   418    0.17232E+04    0.20802E+02   -0.30702E+02
   419    0.17255E+04    0.20711E+02   -0.32355E+02
   420    0.17282E+04    0.20616E+02   -0.33985E+02
   421    0.17313E+04    0.20518E+02   -0.35592E+02
   422    0.17347E+04    0.20416E+02   -0.37175E+02
   423    0.17383E+04    0.20310E+02   -0.38732E+02
   424    0.17422E+04    0.20201E+02   -0.40265E+02
   425    0.17466E+04    0.20088E+02   -0.41770E+02
   426    0.17513E+04    0.19973E+02   -0.43249E+02
   427    0.17562E+04    0.19854E+02   -0.44702E+02
   428    0.17614E+04    0.19732E+02   -0.46126E+02
   429    0.17669E+04    0.19607E+02   -0.47522E+02
   430    0.17728E+04    0.19480E+02   -0.48889E+02
   431    0.17789E+04    0.19349E+02   -0.50227E+02
   432    0.17852E+04    0.19215E+02   -0.51536E+02
   433    0.17919E+04    0.19079E+02   -0.52814E+02
   434    0.17987E+04    0.18940E+02   -0.54062E+02
   435    0.18058E+04    0.18799E+02   -0.55279E+02
   436    0.18132E+04    0.18655E+02   -0.56465E+02
   437    0.18209E+04    0.18508E+02   -0.57618E+02
   438    0.18287E+04    0.18358E+02   -0.58739E+02
   439    0.18369E+04    0.18207E+02   -0.59828E+02
   440    0.18452E+04    0.18054E+02   -0.60883E+02
   441    0.18537E+04    0.17897E+02   -0.61905E+02
   442    0.18624E+04    0.17739E+02   -0.62893E+02
   443    0.18714E+04    0.17579E+02   -0.63848E+02
   444    0.18805E+04    0.17417E+02   -0.64768E+02
   445    0.18898E+04    0.17252E+02   -0.65652E+02
   446    0.18992E+04    0.17086E+02   -0.66501E+02
   447    0.19088E+04    0.16919E+02   -0.67317E+02
   448    0.19186E+04    0.16749E+02   -0.68097E+02
   449    0.19285E+04    0.16578E+02   -0.68840E+02
   450    0.19387E+04    0.16407E+02   -0.69548E+02
   451    0.19489E+04    0.16233E+02   -0.70220E+02
   452    0.19592E+04    0.16058E+02   -0.70857E+02
   453    0.19698E+04    0.15882E+02   -0.71457E+02
   454    0.19804E+04    0.15705E+02   -0.72021E+02
   455    0.19910E+04    0.15527E+02   -0.72550E+02
   456    0.20019E+04    0.15348E+02   -0.73037E+02
   457    0.20128E+04    0.15168E+02   -0.73496E+02
   458    0.20238E+04    0.14988E+02   -0.73909E+02
   459    0.20349E+04    0.14808E+02   -0.74290E+02
   460    0.20461E+04    0.14626E+02   -0.74635E+02
   461    0.20573E+04    0.14444E+02   -0.74943E+02
   462    0.20686E+04    0.14261E+02   -0.75209E+02
   463    0.20799E+04    0.14079E+02   -0.75451E+02
   464    0.20912E+04    0.13897E+02   -0.75640E+02
   465    0.21025E+04    0.13715E+02   -0.75806E+02
   466    0.21139E+04    0.13533E+02   -0.75925E+02
   467    0.21254E+04    0.13350E+02   -0.76014E+02
   468    0.21369E+04    0.13169E+02   -0.76064E+02
   469    0.21483E+04    0.12987E+02   -0.76083E+02
   470    0.21598E+04    0.12806E+02   -0.76063E+02
   471    0.21711E+04    0.12627E+02   -0.76005E+02
   472    0.21826E+04    0.12448E+02   -0.75915E+02
   473    0.21940E+04    0.12269E+02   -0.75787E+02
   474    0.22054E+04    0.12092E+02   -0.75628E+02
   475    0.22168E+04    0.11915E+02   -0.75431E+02
   476    0.22281E+04    0.11740E+02   -0.75197E+02
   477    0.22393E+04    0.11566E+02   -0.74936E+02
   478    0.22505E+04    0.11393E+02   -0.74630E+02
   479    0.22617E+04    0.11222E+02   -0.74303E+02
   480    0.22728E+04    0.11052E+02   -0.73936E+02
   481    0.22838E+04    0.10884E+02   -0.73533E+02
   482    0.22948E+04    0.10718E+02   -0.73099E+02
   483    0.23056E+04    0.10553E+02   -0.72637E+02
   484    0.23162E+04    0.10391E+02   -0.72141E+02
   485    0.23269E+04    0.10230E+02   -0.71612E+02
   486    0.23375E+04    0.10073E+02   -0.71053E+02
   487    0.23480E+04    0.99171E+01   -0.70463E+02
   488    0.23582E+04    0.97630E+01   -0.69842E+02
   489    0.23685E+04    0.96120E+01   -0.69191E+02
   490    0.23786E+04    0.94640E+01   -0.68510E+02
   491    0.23884E+04    0.93182E+01   -0.67801E+02
   492    0.23983E+04    0.91754E+01   -0.67063E+02
   493    0.24080E+04    0.90341E+01   -0.66296E+02
   494    0.24175E+04    0.88973E+01   -0.65503E+02
   495    0.24268E+04    0.87628E+01   -0.64682E+02
   496    0.24360E+04    0.86320E+01   -0.63835E+02
   497    0.24450E+04    0.85042E+01   -0.62961E+02
   498    0.24539E+04    0.83786E+01   -0.62063E+02
   499    0.24627E+04    0.82576E+01   -0.61139E+02
   500    0.24713E+04    0.81388E+01   -0.60192E+02
   501    0.24795E+04    0.80246E+01   -0.59221E+02
   502    0.24878E+04    0.79141E+01   -0.58226E+02
   503    0.24958E+04    0.78066E+01   -0.57209E+02
   504    0.25035E+04    0.77028E+01   -0.56169E+02
   505    0.25112E+04    0.76036E+01   -0.55110E+02
   506    0.25186E+04    0.75083E+01   -0.54029E+02
   507    0.25259E+04    0.74166E+01   -0.52929E+02
   508    0.25328E+04    0.73296E+01   -0.51809E+02
