#           k/h    P           
    0.74994E-01    0.95764E+04
    0.76509E-01    0.92436E+04
    0.78055E-01    0.89059E+04
    0.79632E-01    0.85666E+04
    0.81241E-01    0.82298E+04
    0.82882E-01    0.78990E+04
    0.84556E-01    0.75783E+04
    0.86264E-01    0.72713E+04
    0.88007E-01    0.69815E+04
    0.89785E-01    0.67116E+04
    0.91598E-01    0.64643E+04
    0.93449E-01    0.62412E+04
    0.95337E-01    0.60429E+04
    0.97263E-01    0.58694E+04
    0.99227E-01    0.57198E+04
    0.10123E+00    0.55916E+04
    0.10328E+00    0.54825E+04
    0.10536E+00    0.53886E+04
    0.10749E+00    0.53057E+04
    0.10966E+00    0.52291E+04
    0.11188E+00    0.51538E+04
    0.11414E+00    0.50748E+04
    0.11644E+00    0.49873E+04
    0.11880E+00    0.48873E+04
    0.12120E+00    0.47722E+04
    0.12365E+00    0.46404E+04
    0.12614E+00    0.44925E+04
    0.12869E+00    0.43298E+04
    0.13129E+00    0.41552E+04
    0.13394E+00    0.39725E+04
    0.13665E+00    0.37862E+04
    0.13941E+00    0.36020E+04
    0.14223E+00    0.34255E+04
    0.14510E+00    0.32624E+04
    0.14803E+00    0.31172E+04
    0.15102E+00    0.29924E+04
    0.15407E+00    0.28881E+04
    0.15718E+00    0.28026E+04
    0.16036E+00    0.27329E+04
    0.16360E+00    0.26751E+04
    0.16690E+00    0.26248E+04
    0.17028E+00    0.25768E+04
    0.17371E+00    0.25257E+04
    0.17722E+00    0.24663E+04
    0.18080E+00    0.23951E+04
    0.18446E+00    0.23117E+04
    0.18818E+00    0.22180E+04
    0.19198E+00    0.21176E+04
    0.19586E+00    0.20151E+04
    0.19982E+00    0.19151E+04
    0.20386E+00    0.18223E+04
    0.20797E+00    0.17404E+04
    0.21218E+00    0.16715E+04
    0.21646E+00    0.16152E+04
    0.22083E+00    0.15690E+04
    0.22530E+00    0.15293E+04
    0.22985E+00    0.14918E+04
    0.23449E+00    0.14522E+04
    0.23923E+00    0.14072E+04
    0.24406E+00    0.13557E+04
    0.24899E+00    0.12989E+04
    0.25402E+00    0.12395E+04
    0.25915E+00    0.11808E+04
    0.26439E+00    0.11261E+04
    0.26973E+00    0.10778E+04
    0.27518E+00    0.10370E+04
    0.28074E+00    0.10022E+04
    0.28641E+00    0.97107E+03
    0.29219E+00    0.94087E+03
    0.29810E+00    0.90924E+03
    0.30412E+00    0.87483E+03
    0.31026E+00    0.83806E+03
    0.31653E+00    0.80078E+03
    0.32292E+00    0.76503E+03
    0.32945E+00    0.73232E+03
    0.33610E+00    0.70338E+03
    0.34289E+00    0.67766E+03
    0.34982E+00    0.65364E+03
    0.35689E+00    0.62986E+03
    0.36409E+00    0.60536E+03
    0.37145E+00    0.58013E+03
    0.37895E+00    0.55509E+03
    0.38661E+00    0.53123E+03
    0.39442E+00    0.50924E+03
    0.40239E+00    0.48914E+03
    0.41052E+00    0.47026E+03
    0.41881E+00    0.45189E+03
    0.42727E+00    0.43353E+03
    0.43590E+00    0.41526E+03
    0.44471E+00    0.39758E+03
    0.45369E+00    0.38085E+03
    0.46286E+00    0.36523E+03
    0.47221E+00    0.35044E+03
    0.48174E+00    0.33613E+03
    0.49148E+00    0.32209E+03
    0.50141E+00    0.30843E+03
    0.51153E+00    0.29537E+03
    0.52187E+00    0.28295E+03
    0.53241E+00    0.27112E+03
    0.54317E+00    0.25977E+03
    0.55414E+00    0.24876E+03
    0.56533E+00    0.23814E+03
    0.57675E+00    0.22799E+03
    0.58840E+00    0.21828E+03
    0.60029E+00    0.20896E+03
    0.61242E+00    0.20002E+03
    0.62479E+00    0.19144E+03
    0.63741E+00    0.18321E+03
    0.65029E+00    0.17531E+03
    0.66342E+00    0.16774E+03
    0.67683E+00    0.16048E+03
    0.69050E+00    0.15351E+03
    0.70445E+00    0.14684E+03
    0.71868E+00    0.14044E+03
    0.73320E+00    0.13431E+03
    0.74801E+00    0.12843E+03
    0.76312E+00    0.12280E+03
    0.77854E+00    0.11741E+03
    0.79426E+00    0.11224E+03
    0.81031E+00    0.10729E+03
    0.82668E+00    0.10255E+03
    0.84338E+00    0.98013E+02
    0.86041E+00    0.93667E+02
    0.87780E+00    0.89506E+02
    0.89553E+00    0.85523E+02
    0.91362E+00    0.81710E+02
    0.93208E+00    0.78061E+02
    0.95091E+00    0.74569E+02
    0.97011E+00    0.71227E+02
    0.98971E+00    0.68029E+02
    0.10097E+01    0.64969E+02
    0.10301E+01    0.62042E+02
    0.10509E+01    0.59243E+02
    0.10721E+01    0.56565E+02
    0.10938E+01    0.54004E+02
    0.11159E+01    0.51555E+02
    0.11384E+01    0.49214E+02
    0.11614E+01    0.46975E+02
    0.11849E+01    0.44835E+02
    0.12088E+01    0.42789E+02
    0.12333E+01    0.40833E+02
    0.12582E+01    0.38964E+02
    0.12836E+01    0.37178E+02
    0.13095E+01    0.35472E+02
    0.13360E+01    0.33841E+02
    0.13630E+01    0.32283E+02
    0.13905E+01    0.30794E+02
    0.14186E+01    0.29373E+02
    0.14472E+01    0.28014E+02
    0.14765E+01    0.26717E+02
    0.15063E+01    0.25479E+02
    0.15367E+01    0.24296E+02
    0.15678E+01    0.23166E+02
    0.15994E+01    0.22088E+02
    0.16318E+01    0.21058E+02
    0.16647E+01    0.20075E+02
    0.16984E+01    0.19137E+02
    0.17327E+01    0.18241E+02
    0.17677E+01    0.17387E+02
    0.18034E+01    0.16571E+02
    0.18398E+01    0.15793E+02
    0.18770E+01    0.15050E+02
    0.19149E+01    0.14341E+02
    0.19536E+01    0.13665E+02
