#           k/h    P           
    0.39442E+00    0.61385E+03
    0.40239E+00    0.58875E+03
    0.41052E+00    0.56414E+03
    0.41881E+00    0.54068E+03
    0.42727E+00    0.51882E+03
    0.43590E+00    0.49853E+03
    0.44471E+00    0.47923E+03
    0.45369E+00    0.46044E+03
    0.46286E+00    0.44188E+03
    0.47221E+00    0.42358E+03
    0.48174E+00    0.40596E+03
    0.49148E+00    0.38922E+03
    0.50141E+00    0.37343E+03
    0.51153E+00    0.35837E+03
    0.52187E+00    0.34378E+03
    0.53241E+00    0.32958E+03
    0.54317E+00    0.31582E+03
    0.55414E+00    0.30263E+03
    0.56533E+00    0.29007E+03
    0.57675E+00    0.27805E+03
    0.58840E+00    0.26647E+03
    0.60029E+00    0.25531E+03
    0.61242E+00    0.24454E+03
    0.62479E+00    0.23422E+03
    0.63741E+00    0.22434E+03
    0.65029E+00    0.21488E+03
    0.66342E+00    0.20579E+03
    0.67683E+00    0.19705E+03
    0.69050E+00    0.18866E+03
    0.70445E+00    0.18061E+03
    0.71868E+00    0.17287E+03
    0.73320E+00    0.16545E+03
    0.74801E+00    0.15833E+03
    0.76312E+00    0.15150E+03
    0.77854E+00    0.14495E+03
    0.79426E+00    0.13867E+03
    0.81031E+00    0.13265E+03
    0.82668E+00    0.12688E+03
    0.84338E+00    0.12135E+03
    0.86041E+00    0.11605E+03
    0.87780E+00    0.11098E+03
    0.89553E+00    0.10612E+03
    0.91362E+00    0.10146E+03
    0.93208E+00    0.96994E+02
    0.95091E+00    0.92720E+02
    0.97011E+00    0.88626E+02
    0.98971E+00    0.84706E+02
    0.10097E+01    0.80951E+02
    0.10301E+01    0.77357E+02
    0.10509E+01    0.73915E+02
    0.10721E+01    0.70621E+02
    0.10938E+01    0.67467E+02
    0.11159E+01    0.64449E+02
    0.11384E+01    0.61561E+02
    0.11614E+01    0.58798E+02
    0.11849E+01    0.56154E+02
    0.12088E+01    0.53624E+02
    0.12333E+01    0.51204E+02
    0.12582E+01    0.48890E+02
    0.12836E+01    0.46677E+02
    0.13095E+01    0.44561E+02
    0.13360E+01    0.42537E+02
    0.13630E+01    0.40602E+02
    0.13905E+01    0.38753E+02
    0.14186E+01    0.36985E+02
    0.14472E+01    0.35295E+02
    0.14765E+01    0.33679E+02
    0.15063E+01    0.32136E+02
    0.15367E+01    0.30661E+02
    0.15678E+01    0.29251E+02
    0.15994E+01    0.27905E+02
    0.16318E+01    0.26618E+02
    0.16647E+01    0.25389E+02
    0.16984E+01    0.24215E+02
    0.17327E+01    0.23094E+02
    0.17677E+01    0.22024E+02
    0.18034E+01    0.21001E+02
    0.18398E+01    0.20025E+02
    0.18770E+01    0.19093E+02
    0.19149E+01    0.18203E+02
    0.19536E+01    0.17353E+02
    0.19930E+01    0.16542E+02
    0.20333E+01    0.15768E+02
    0.20744E+01    0.15029E+02
    0.21163E+01    0.14324E+02
    0.21590E+01    0.13651E+02
    0.22026E+01    0.13009E+02
    0.22471E+01    0.12397E+02
    0.22925E+01    0.11812E+02
    0.23388E+01    0.11255E+02
    0.23861E+01    0.10723E+02
    0.24343E+01    0.10216E+02
    0.24835E+01    0.97316E+01
    0.25336E+01    0.92702E+01
    0.25848E+01    0.88300E+01
    0.26370E+01    0.84103E+01
    0.26903E+01    0.80102E+01
    0.27447E+01    0.76286E+01
    0.28001E+01    0.72648E+01
    0.28567E+01    0.69180E+01
    0.29144E+01    0.65873E+01
    0.29733E+01    0.62722E+01
    0.30333E+01    0.59718E+01
    0.30946E+01    0.56855E+01
    0.31571E+01    0.54126E+01
    0.32209E+01    0.51526E+01
    0.32860E+01    0.49048E+01
    0.33523E+01    0.46687E+01
    0.34201E+01    0.44437E+01
    0.34892E+01    0.42293E+01
    0.35596E+01    0.40251E+01
    0.36316E+01    0.38306E+01
    0.37049E+01    0.36453E+01
    0.37798E+01    0.34688E+01
    0.38561E+01    0.33006E+01
    0.39340E+01    0.31405E+01
    0.40135E+01    0.29880E+01
    0.40946E+01    0.28428E+01
    0.41773E+01    0.27045E+01
    0.42617E+01    0.25728E+01
    0.43478E+01    0.24474E+01
    0.44356E+01    0.23280E+01
    0.45252E+01    0.22144E+01
    0.46166E+01    0.21061E+01
    0.47099E+01    0.20031E+01
    0.48050E+01    0.19051E+01
    0.49021E+01    0.18118E+01
    0.50011E+01    0.17229E+01
    0.51021E+01    0.16384E+01
    0.52052E+01    0.15579E+01
    0.53104E+01    0.14813E+01
    0.54176E+01    0.14084E+01
    0.55271E+01    0.13391E+01
    0.56387E+01    0.12731E+01
    0.57526E+01    0.12103E+01
    0.58689E+01    0.11506E+01
    0.59874E+01    0.10938E+01
    0.61084E+01    0.10397E+01
