#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.224422E-01   0.103147E+08   0.102819E+08  -0.571905E+03  -0.572108E+03   0.000000E+00   0.103092E+08   0.103092E+08   0.103092E+08  -0.252926E+00   0.528613E+07   0.528587E+07   0.391417E+01
   0.235928E-01   0.995933E+07   0.992474E+07  -0.499631E+03  -0.499808E+03   0.000000E+00   0.995356E+07   0.995356E+07   0.995356E+07  -0.244200E+00   0.510376E+07   0.510349E+07   0.390896E+01
   0.248025E-01   0.959868E+07   0.956231E+07  -0.435694E+03  -0.435848E+03   0.000000E+00   0.959262E+07   0.959262E+07   0.959262E+07  -0.235345E+00   0.491869E+07   0.491840E+07   0.388533E+01
   0.260741E-01   0.923402E+07   0.919596E+07  -0.379236E+03  -0.379370E+03   0.000000E+00   0.922768E+07   0.922768E+07   0.922768E+07  -0.226391E+00   0.473157E+07   0.473127E+07   0.384144E+01
   0.274110E-01   0.887376E+07   0.883415E+07  -0.329743E+03  -0.329859E+03   0.000000E+00   0.886716E+07   0.886716E+07   0.886716E+07  -0.217546E+00   0.454671E+07   0.454640E+07   0.377482E+01
   0.288163E-01   0.850558E+07   0.846461E+07  -0.285969E+03  -0.286070E+03   0.000000E+00   0.849875E+07   0.849875E+07   0.849875E+07  -0.208508E+00   0.435781E+07   0.435749E+07   0.368557E+01
   0.302938E-01   0.813852E+07   0.809642E+07  -0.247576E+03  -0.247663E+03   0.000000E+00   0.813150E+07   0.813150E+07   0.813150E+07  -0.199498E+00   0.416950E+07   0.416918E+07   0.357170E+01
   0.318470E-01   0.777482E+07   0.773188E+07  -0.213994E+03  -0.214069E+03   0.000000E+00   0.776766E+07   0.776766E+07   0.776766E+07  -0.190571E+00   0.398294E+07   0.398262E+07   0.343248E+01
   0.334798E-01   0.745687E+07   0.741342E+07  -0.185702E+03  -0.185768E+03   0.000000E+00   0.744963E+07   0.744963E+07   0.744963E+07  -0.182769E+00   0.381987E+07   0.381954E+07   0.326893E+01
   0.351964E-01   0.710938E+07   0.706584E+07  -0.160193E+03  -0.160250E+03   0.000000E+00   0.710212E+07   0.710212E+07   0.710212E+07  -0.174243E+00   0.364169E+07   0.364136E+07   0.307938E+01
   0.370009E-01   0.677209E+07   0.672890E+07  -0.138066E+03  -0.138115E+03   0.000000E+00   0.676489E+07   0.676489E+07   0.676489E+07  -0.165969E+00   0.346877E+07   0.346845E+07   0.286634E+01
   0.388980E-01   0.644699E+07   0.640464E+07  -0.118927E+03  -0.118969E+03   0.000000E+00   0.643993E+07   0.643993E+07   0.643993E+07  -0.157997E+00   0.330214E+07   0.330184E+07   0.263225E+01
   0.408923E-01   0.613810E+07   0.609710E+07  -0.102452E+03  -0.102488E+03   0.000000E+00   0.613127E+07   0.613127E+07   0.613127E+07  -0.150424E+00   0.314387E+07   0.314358E+07   0.238045E+01
   0.429889E-01   0.582187E+07   0.578274E+07  -0.879254E+02  -0.879565E+02   0.000000E+00   0.581535E+07   0.581535E+07   0.581535E+07  -0.142673E+00   0.298188E+07   0.298161E+07   0.211500E+01
   0.451930E-01   0.555075E+07   0.551398E+07  -0.758541E+02  -0.758809E+02   0.000000E+00   0.554462E+07   0.554462E+07   0.554462E+07  -0.136031E+00   0.284306E+07   0.284281E+07   0.184271E+01
   0.475101E-01   0.530011E+07   0.526615E+07  -0.655383E+02  -0.655615E+02   0.000000E+00   0.529445E+07   0.529445E+07   0.529445E+07  -0.129894E+00   0.271478E+07   0.271456E+07   0.157008E+01
   0.499460E-01   0.506889E+07   0.503809E+07  -0.567170E+02  -0.567371E+02   0.000000E+00   0.506376E+07   0.506376E+07   0.506376E+07  -0.124234E+00   0.259649E+07   0.259629E+07   0.130491E+01
   0.525068E-01   0.486900E+07   0.484158E+07  -0.492990E+02  -0.493164E+02   0.000000E+00   0.486443E+07   0.486443E+07   0.486443E+07  -0.119344E+00   0.249428E+07   0.249411E+07   0.105580E+01
   0.551989E-01   0.467030E+07   0.464633E+07  -0.427902E+02  -0.428054E+02   0.000000E+00   0.466631E+07   0.466631E+07   0.466631E+07  -0.114483E+00   0.239268E+07   0.239255E+07   0.830539E+00
   0.580290E-01   0.448458E+07   0.446393E+07  -0.371813E+02  -0.371944E+02   0.000000E+00   0.448114E+07   0.448114E+07   0.448114E+07  -0.109940E+00   0.229773E+07   0.229762E+07   0.636919E+00
   0.619972E-01   0.424289E+07   0.422612E+07  -0.308213E+02  -0.308322E+02   0.000000E+00   0.424010E+07   0.424010E+07   0.424010E+07  -0.104026E+00   0.217413E+07   0.217405E+07   0.439335E+00
   0.659655E-01   0.402492E+07   0.401089E+07  -0.258278E+02  -0.258369E+02   0.000000E+00   0.402258E+07   0.402258E+07   0.402258E+07  -0.986897E-01   0.206260E+07   0.206253E+07   0.321046E+00
   0.699337E-01   0.381344E+07   0.380095E+07  -0.217731E+02  -0.217808E+02   0.000000E+00   0.381136E+07   0.381136E+07   0.381136E+07  -0.935077E-01   0.195429E+07   0.195424E+07   0.268055E+00
   0.739020E-01   0.360731E+07   0.359528E+07  -0.184436E+02  -0.184502E+02   0.000000E+00   0.360531E+07   0.360531E+07   0.360531E+07  -0.884524E-01   0.184864E+07   0.184858E+07   0.262895E+00
   0.778703E-01   0.339570E+07   0.338328E+07  -0.156366E+02  -0.156421E+02   0.000000E+00   0.339363E+07   0.339363E+07   0.339363E+07  -0.832591E-01   0.174010E+07   0.174004E+07   0.286781E+00
   0.818385E-01   0.318610E+07   0.317279E+07  -0.132821E+02  -0.132868E+02   0.000000E+00   0.318388E+07   0.318388E+07   0.318388E+07  -0.781131E-01   0.163256E+07   0.163248E+07   0.322505E+00
   0.858068E-01   0.298419E+07   0.296982E+07  -0.113153E+02  -0.113193E+02   0.000000E+00   0.298179E+07   0.298179E+07   0.298179E+07  -0.731551E-01   0.152894E+07   0.152885E+07   0.355932E+00
   0.897750E-01   0.279598E+07   0.278070E+07  -0.968427E+01  -0.968770E+01   0.000000E+00   0.279343E+07   0.279343E+07   0.279343E+07  -0.685339E-01   0.143236E+07   0.143226E+07   0.377182E+00
   0.937433E-01   0.262632E+07   0.261052E+07  -0.834211E+01  -0.834506E+01   0.000000E+00   0.262368E+07   0.262368E+07   0.262368E+07  -0.643693E-01   0.134532E+07   0.134521E+07   0.380964E+00
   0.977115E-01   0.247810E+07   0.246231E+07  -0.724459E+01  -0.724715E+01   0.000000E+00   0.247547E+07   0.247547E+07   0.247547E+07  -0.607330E-01   0.126932E+07   0.126921E+07   0.366234E+00
   0.101680E+00   0.235207E+07   0.233684E+07  -0.634979E+01  -0.635204E+01   0.000000E+00   0.234953E+07   0.234953E+07   0.234953E+07  -0.576432E-01   0.120474E+07   0.120464E+07   0.335360E+00
   0.105648E+00   0.224688E+07   0.223269E+07  -0.561882E+01  -0.562081E+01   0.000000E+00   0.224452E+07   0.224452E+07   0.224452E+07  -0.550668E-01   0.115090E+07   0.115080E+07   0.293014E+00
   0.109616E+00   0.215954E+07   0.214673E+07  -0.501675E+01  -0.501853E+01   0.000000E+00   0.215741E+07   0.215741E+07   0.215741E+07  -0.529297E-01   0.110623E+07   0.110615E+07   0.244992E+00
   0.113585E+00   0.208593E+07   0.207467E+07  -0.451341E+01  -0.451501E+01   0.000000E+00   0.208405E+07   0.208405E+07   0.208405E+07  -0.511300E-01   0.106861E+07   0.106855E+07   0.197117E+00
   0.117553E+00   0.202140E+07   0.201165E+07  -0.408381E+01  -0.408526E+01   0.000000E+00   0.201978E+07   0.201978E+07   0.201978E+07  -0.495530E-01   0.103565E+07   0.103560E+07   0.154362E+00
   0.121521E+00   0.196141E+07   0.195299E+07  -0.370832E+01  -0.370963E+01   0.000000E+00   0.196000E+07   0.196000E+07   0.196000E+07  -0.480866E-01   0.100500E+07   0.100496E+07   0.120255E+00
   0.125489E+00   0.190211E+07   0.189471E+07  -0.337257E+01  -0.337376E+01   0.000000E+00   0.190088E+07   0.190088E+07   0.190088E+07  -0.466360E-01   0.974686E+06   0.974650E+06   0.965960E-01
   0.129458E+00   0.184086E+07   0.183410E+07  -0.306703E+01  -0.306811E+01   0.000000E+00   0.183973E+07   0.183973E+07   0.183973E+07  -0.451359E-01   0.943333E+06   0.943300E+06   0.834895E-01
