#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.867524E-01   0.253804E+07   0.252119E+07   0.731960E+01  -0.131221E+02   0.000000E+00   0.253501E+07   0.253501E+07   0.253501E+07  -0.563657E-01   0.117243E+07   0.117224E+07   0.749164E+00
   0.915844E-01   0.234315E+07   0.232628E+07   0.606248E+01  -0.108689E+02   0.000000E+00   0.234011E+07   0.234011E+07   0.234011E+07  -0.520321E-01   0.108229E+07   0.108210E+07   0.686341E+00
   0.964164E-01   0.218923E+07   0.217335E+07   0.511070E+01  -0.916245E+01   0.000000E+00   0.218637E+07   0.218637E+07   0.218637E+07  -0.486137E-01   0.101119E+07   0.101101E+07   0.604588E+00
   0.101248E+00   0.207203E+07   0.205793E+07   0.438696E+01  -0.786454E+01   0.000000E+00   0.206949E+07   0.206949E+07   0.206949E+07  -0.460150E-01   0.957131E+06   0.956975E+06   0.513922E+00
   0.106080E+00   0.198170E+07   0.196977E+07   0.382295E+01  -0.685293E+01   0.000000E+00   0.197955E+07   0.197955E+07   0.197955E+07  -0.440152E-01   0.915532E+06   0.915397E+06   0.426134E+00
   0.110912E+00   0.190626E+07   0.189643E+07   0.336472E+01  -0.603105E+01   0.000000E+00   0.190449E+07   0.190449E+07   0.190449E+07  -0.423463E-01   0.880816E+06   0.880699E+06   0.351226E+00
   0.115744E+00   0.183465E+07   0.182649E+07   0.297409E+01  -0.533056E+01   0.000000E+00   0.183318E+07   0.183318E+07   0.183318E+07  -0.407605E-01   0.847831E+06   0.847728E+06   0.295162E+00
   0.120576E+00   0.175906E+07   0.175192E+07   0.262783E+01  -0.470982E+01   0.000000E+00   0.175777E+07   0.175777E+07   0.175777E+07  -0.390839E-01   0.812956E+06   0.812862E+06   0.259180E+00
   0.125408E+00   0.167641E+07   0.166960E+07   0.231508E+01  -0.414931E+01   0.000000E+00   0.167518E+07   0.167518E+07   0.167518E+07  -0.372475E-01   0.774758E+06   0.774668E+06   0.240434E+00
   0.130240E+00   0.158779E+07   0.158078E+07   0.203282E+01  -0.364356E+01   0.000000E+00   0.158653E+07   0.158653E+07   0.158653E+07  -0.352763E-01   0.733758E+06   0.733666E+06   0.233422E+00
   0.135072E+00   0.149678E+07   0.148927E+07   0.178138E+01  -0.319306E+01   0.000000E+00   0.149543E+07   0.149543E+07   0.149543E+07  -0.332508E-01   0.691627E+06   0.691533E+06   0.231722E+00
   0.139904E+00   0.140828E+07   0.140023E+07   0.156200E+01  -0.280001E+01   0.000000E+00   0.140683E+07   0.140683E+07   0.140683E+07  -0.312808E-01   0.650653E+06   0.650556E+06   0.229650E+00
   0.144736E+00   0.132768E+07   0.131929E+07   0.137572E+01  -0.246620E+01   0.000000E+00   0.132617E+07   0.132617E+07   0.132617E+07  -0.294873E-01   0.613349E+06   0.613252E+06   0.223420E+00
   0.149568E+00   0.125916E+07   0.125077E+07   0.122167E+01  -0.219011E+01   0.000000E+00   0.125765E+07   0.125765E+07   0.125765E+07  -0.279637E-01   0.581657E+06   0.581562E+06   0.211550E+00
   0.154400E+00   0.120386E+07   0.119583E+07   0.109606E+01  -0.196491E+01   0.000000E+00   0.120241E+07   0.120241E+07   0.120241E+07  -0.267356E-01   0.556111E+06   0.556021E+06   0.194599E+00
   0.159232E+00   0.115995E+07   0.115257E+07   0.993042E+00  -0.178017E+01   0.000000E+00   0.115862E+07   0.115862E+07   0.115862E+07  -0.257618E-01   0.535856E+06   0.535773E+06   0.174547E+00
   0.164064E+00   0.112418E+07   0.111760E+07   0.906681E+00  -0.162528E+01   0.000000E+00   0.112299E+07   0.112299E+07   0.112299E+07  -0.249697E-01   0.519378E+06   0.519303E+06   0.154026E+00
   0.168896E+00   0.109298E+07   0.108721E+07   0.831923E+00  -0.149119E+01   0.000000E+00   0.109194E+07   0.109194E+07   0.109194E+07  -0.242793E-01   0.505017E+06   0.504949E+06   0.135525E+00
   0.173728E+00   0.106278E+07   0.105766E+07   0.764647E+00  -0.137055E+01   0.000000E+00   0.106186E+07   0.106186E+07   0.106186E+07  -0.236103E-01   0.491101E+06   0.491038E+06   0.120768E+00
   0.178560E+00   0.103057E+07   0.102588E+07   0.701929E+00  -0.125811E+01   0.000000E+00   0.102972E+07   0.102972E+07   0.102972E+07  -0.228958E-01   0.476239E+06   0.476180E+06   0.110418E+00
